visit_id,client_id,property_id,agent_id,visit_date,visit_purpose
V000132,621,2658,138,12/24/2019,Negotiation
V000131,621,2658,138,1/7/2020,First Viewing
V002284,305,2289,125,1/19/2020,Negotiation
V000133,621,2658,138,1/22/2020,Final Check
V012737,972,2101,57,2/2/2020,Area Comparison
V012736,972,2101,57,2/2/2020,Browsing
V012433,1283,880,19,2/2/2020,Initial Interest
V012432,1283,880,19,2/2/2020,Price Inquiry
V011207,1421,61,129,2/3/2020,Initial Interest
V009460,1447,2605,125,2/3/2020,Just Checking
V011206,1421,61,129,2/3/2020,Initial Interest
V009461,1447,2605,125,2/3/2020,Just Checking
V009410,1480,218,197,2/3/2020,Just Checking
V009411,1480,218,197,2/3/2020,Price Inquiry
V012484,1418,158,127,2/4/2020,Price Inquiry
V012485,1418,158,127,2/4/2020,Just Checking
V009537,329,812,185,2/5/2020,Area Comparison
V010427,1981,540,188,2/5/2020,Browsing
V014303,928,298,79,2/5/2020,Browsing
V014302,928,298,79,2/5/2020,Browsing
V009536,329,812,185,2/5/2020,Just Checking
V010426,1981,540,188,2/5/2020,Browsing
V015774,573,1689,55,2/6/2020,Browsing
V015775,573,1689,55,2/6/2020,Just Checking
V015903,1762,482,161,2/6/2020,Area Comparison
V015902,1762,482,161,2/6/2020,Initial Interest
V014271,802,2862,34,2/7/2020,Price Inquiry
V011418,1248,1760,43,2/7/2020,Area Comparison
V015599,493,817,23,2/7/2020,Just Checking
V010799,1880,2820,37,2/7/2020,Browsing
V010798,1880,2820,37,2/7/2020,Price Inquiry
V011419,1248,1760,43,2/7/2020,Initial Interest
V015598,493,817,23,2/7/2020,Area Comparison
V014270,802,2862,34,2/7/2020,Just Checking
V014108,1482,1855,212,2/8/2020,Price Inquiry
V014109,1482,1855,212,2/8/2020,Initial Interest
V014111,21,2073,173,2/9/2020,Area Comparison
V013007,1697,264,35,2/9/2020,Price Inquiry
V013006,1697,264,35,2/9/2020,Browsing
V013136,666,840,226,2/9/2020,Browsing
V013137,666,840,226,2/9/2020,Price Inquiry
V014110,21,2073,173,2/9/2020,Initial Interest
V015285,1138,2776,225,2/10/2020,Initial Interest
V015284,1138,2776,225,2/10/2020,Browsing
V002283,305,2289,125,2/11/2020,First Viewing
V010292,1247,2851,130,2/12/2020,Just Checking
V010293,1247,2851,130,2/12/2020,Just Checking
V010742,1118,693,134,2/12/2020,Area Comparison
V010743,1118,693,134,2/12/2020,Browsing
V012579,831,1274,134,2/12/2020,Area Comparison
V012578,831,1274,134,2/12/2020,Initial Interest
V015387,1385,218,222,2/13/2020,Initial Interest
V015386,1385,218,222,2/13/2020,Just Checking
V011986,1202,139,121,2/14/2020,Area Comparison
V015677,517,264,219,2/14/2020,Area Comparison
V011987,1202,139,121,2/14/2020,Area Comparison
V015676,517,264,219,2/14/2020,Just Checking
V012182,1550,2168,219,2/15/2020,Initial Interest
V012183,1550,2168,219,2/15/2020,Just Checking
V012297,1594,350,157,2/15/2020,Initial Interest
V012296,1594,350,157,2/15/2020,Area Comparison
V012064,1256,341,135,2/16/2020,Browsing
V010874,1888,2281,39,2/16/2020,Area Comparison
V012065,1256,341,135,2/16/2020,Area Comparison
V010875,1888,2281,39,2/16/2020,Just Checking
V013491,1161,213,135,2/17/2020,Just Checking
V013490,1161,213,135,2/17/2020,Just Checking
V010467,879,2168,1,2/18/2020,Browsing
V013168,1721,1738,22,2/18/2020,Initial Interest
V013169,1721,1738,22,2/18/2020,Initial Interest
V011012,2008,870,211,2/18/2020,Browsing
V013223,346,1904,100,2/18/2020,Initial Interest
V013222,346,1904,100,2/18/2020,Just Checking
V010466,879,2168,1,2/18/2020,Area Comparison
V011013,2008,870,211,2/18/2020,Just Checking
V009106,675,399,207,2/19/2020,Initial Interest
V012453,1368,2661,52,2/19/2020,Area Comparison
V012452,1368,2661,52,2/19/2020,Just Checking
V009107,675,399,207,2/19/2020,Initial Interest
V012921,886,1334,208,2/19/2020,Area Comparison
V011394,591,251,102,2/19/2020,Price Inquiry
V011395,591,251,102,2/19/2020,Just Checking
V012920,886,1334,208,2/19/2020,Just Checking
V011905,1226,2167,69,2/21/2020,Initial Interest
V011904,1226,2167,69,2/21/2020,Area Comparison
V011841,1841,1749,29,2/21/2020,Price Inquiry
V012989,1266,725,120,2/21/2020,Browsing
V010819,1215,1918,99,2/21/2020,Initial Interest
V012172,344,1564,87,2/21/2020,Initial Interest
V011840,1841,1749,29,2/21/2020,Price Inquiry
V012988,1266,725,120,2/21/2020,Price Inquiry
V010818,1215,1918,99,2/21/2020,Browsing
V012173,344,1564,87,2/21/2020,Area Comparison
V009896,1250,1315,12,2/22/2020,Initial Interest
V009897,1250,1315,12,2/22/2020,Browsing
V012516,882,799,89,2/22/2020,Area Comparison
V011640,1149,1259,34,2/22/2020,Just Checking
V011641,1149,1259,34,2/22/2020,Initial Interest
V015819,1675,295,91,2/22/2020,Browsing
V015818,1675,295,91,2/22/2020,Browsing
V012517,882,799,89,2/22/2020,Initial Interest
V012258,843,2460,145,2/23/2020,Just Checking
V012259,843,2460,145,2/23/2020,Area Comparison
V010381,1847,2652,246,2/23/2020,Price Inquiry
V010380,1847,2652,246,2/23/2020,Initial Interest
V013902,525,2076,214,2/24/2020,Browsing
V013903,525,2076,214,2/24/2020,Just Checking
V013703,73,837,3,2/25/2020,Initial Interest
V013702,73,837,3,2/25/2020,Initial Interest
V009318,1367,370,101,2/26/2020,Price Inquiry
V009319,1367,370,101,2/26/2020,Just Checking
V010309,1259,162,81,2/28/2020,Just Checking
V010308,1259,162,81,2/28/2020,Price Inquiry
V012872,844,995,205,2/28/2020,Price Inquiry
V010090,7,967,92,2/28/2020,Just Checking
V012873,844,995,205,2/28/2020,Browsing
V010091,7,967,92,2/28/2020,Browsing
V015043,1750,2121,79,2/28/2020,Just Checking
V015042,1750,2121,79,2/28/2020,Price Inquiry
V013118,708,1191,103,2/29/2020,Area Comparison
V013119,708,1191,103,2/29/2020,Just Checking
V012973,76,1571,124,2/29/2020,Initial Interest
V012972,76,1571,124,2/29/2020,Just Checking
V010170,1959,1366,145,2/29/2020,Just Checking
V010171,1959,1366,145,2/29/2020,Area Comparison
V010056,660,2740,153,2/29/2020,Just Checking
V010057,660,2740,153,2/29/2020,Just Checking
V011133,879,2241,162,2/29/2020,Just Checking
V012548,578,2891,135,2/29/2020,Price Inquiry
V012549,578,2891,135,2/29/2020,Area Comparison
V011132,879,2241,162,2/29/2020,Area Comparison
V010062,938,1656,80,3/1/2020,Price Inquiry
V011079,180,2767,188,3/1/2020,Price Inquiry
V011078,180,2767,188,3/1/2020,Price Inquiry
V010063,938,1656,80,3/1/2020,Just Checking
V013248,1876,1783,22,3/2/2020,Initial Interest
V015116,1168,499,185,3/2/2020,Initial Interest
V013249,1876,1783,22,3/2/2020,Just Checking
V015117,1168,499,185,3/2/2020,Browsing
V009023,1752,774,95,3/2/2020,Negotiation
V013347,1824,2245,185,3/2/2020,Area Comparison
V011566,111,1333,124,3/2/2020,Just Checking
V011567,111,1333,124,3/2/2020,Browsing
V013346,1824,2245,185,3/2/2020,Area Comparison
V016109,683,1099,111,3/3/2020,Just Checking
V016108,683,1099,111,3/3/2020,Price Inquiry
V015438,1492,1972,11,3/3/2020,Price Inquiry
V015439,1492,1972,11,3/3/2020,Initial Interest
V009025,1752,774,95,3/4/2020,Contract Discussion
V010357,1875,335,213,3/4/2020,Initial Interest
V010356,1875,335,213,3/4/2020,Browsing
V010395,305,1450,102,3/5/2020,Area Comparison
V010394,305,1450,102,3/5/2020,Initial Interest
V015830,566,1732,6,3/6/2020,Browsing
V015831,566,1732,6,3/6/2020,Browsing
V013203,367,1209,240,3/7/2020,Just Checking
V015971,1541,857,145,3/7/2020,Area Comparison
V013202,367,1209,240,3/7/2020,Price Inquiry
V015970,1541,857,145,3/7/2020,Browsing
V012584,413,1010,28,3/7/2020,Browsing
V012585,413,1010,28,3/7/2020,Browsing
V014294,391,2588,134,3/8/2020,Just Checking
V009908,395,1615,193,3/8/2020,Just Checking
V015608,1163,1034,172,3/8/2020,Area Comparison
V014295,391,2588,134,3/8/2020,Price Inquiry
V015609,1163,1034,172,3/8/2020,Price Inquiry
V009909,395,1615,193,3/8/2020,Browsing
V011718,1354,553,245,3/9/2020,Browsing
V015628,1139,287,85,3/9/2020,Just Checking
