rent_id,property_id,client_id,agent_id,owner_id,rent_amount,commission_rate,commission_amount,commission_payment_method,commission_payment_date,agreement_date,rent_start_date,rent_end_date,terms,rent_months
1,107,794,240,1020,4230.0,0.1,10575.0,Credit Card,2024-04-25,3/1/2023,2023-03-21,2025-04-09,Lease agreement for Office in TX for 25 months. Condition: Fair.,25
2,2402,1075,84,755,2640.0,0.1,3960.0,Cash,2024-11-27,11/21/2024,2024-11-24,2026-02-17,Lease agreement for Apartment in FL for 15 months. Condition: Good.,15
3,1112,1043,36,552,5120.0,0.05,2560.0,Credit Card,2024-11-24,3/19/2023,2023-03-21,2024-01-15,Lease agreement for House in TX for 10 months. Condition: Good.,10
4,2439,62,44,869,1660.0,0.05,1660.0,Cash,2024-03-06,4/9/2021,2021-04-28,2022-12-19,Lease agreement for Apartment in TX for 20 months. Condition: Fair.,20
5,2007,1582,162,1422,3980.0,0.1,2388.0,Bank Transfer,2024-09-04,12/25/2021,2021-12-31,2022-06-29,Lease agreement for Office in CA for 6 months. Condition: Good.,6
6,1584,2060,16,808,1740.0,0.1,2784.0,Credit Card,2024-08-21,8/19/2024,2024-08-21,2025-12-14,Lease agreement for Studio in IL for 16 months. Condition: Good.,16
7,561,1793,180,233,4470.0,0.05,4917.0,Cash,2024-12-26,12/15/2024,2025-01-09,2026-10-31,Lease agreement for House in CA for 22 months. Condition: Fair.,22
8,2050,999,217,250,4680.0,0.1,3744.0,Bank Transfer,2024-08-22,12/22/2023,2024-01-07,2024-09-03,Lease agreement for House in TX for 8 months. Condition: Good.,8
9,1469,1960,181,1684,1680.0,0.1,5712.0,Credit Card,2024-10-06,9/29/2024,2024-10-03,2027-07-20,Lease agreement for Office in FL for 34 months. Condition: Fair.,34
10,1383,821,203,528,6270.0,0.1,21945.0,Cash,2024-07-16,5/21/2024,2024-06-03,2027-04-19,Lease agreement for Villa in TX for 35 months. Condition: Good.,35
11,688,1392,128,81,1920.0,0.05,2592.0,Credit Card,2024-12-21,11/11/2024,2024-11-15,2027-02-03,Lease agreement for Apartment in FL for 27 months. Condition: Good.,27
12,920,959,71,211,21740.0,0.05,28262.0,Bank Transfer,2024-12-22,10/29/2024,2024-11-08,2026-12-28,Lease agreement for Villa in CA for 26 months. Condition: Good.,26
13,1192,2015,140,226,2600.0,0.1,8320.0,Credit Card,2024-10-11,9/28/2024,2024-10-08,2027-05-26,Lease agreement for Apartment in IL for 32 months. Condition: Good.,32
14,1298,1446,140,1365,8410.0,0.1,16820.0,Cash,2024-10-27,8/31/2024,2024-09-09,2026-05-02,Lease agreement for Villa in TX for 20 months. Condition: Good.,20
15,952,1016,197,147,3160.0,0.05,5056.0,Credit Card,2024-12-29,12/23/2024,2025-01-12,2027-08-30,Lease agreement for Office in IL for 32 months. Condition: Poor.,32
16,2059,1140,205,619,2519.9999999999995,0.1,7308.0,Cash,2023-04-30,8/25/2022,2022-09-02,2025-01-19,Lease agreement for Office in CA for 29 months. Condition: Good.,29
17,1271,1058,194,471,12470.0,0.1,34916.0,Credit Card,2024-08-04,1/20/2024,2024-02-17,2026-06-06,Lease agreement for Villa in NY for 28 months. Condition: Good.,28
18,1326,1042,97,1621,3560.0,0.05,3916.0,Credit Card,2024-05-06,4/22/2024,2024-04-23,2026-02-12,Lease agreement for Apartment in FL for 22 months. Condition: Good.,22
